的	白勹丶
鍇	金匕匕白
鍿	金一巛田
鍞	金⺊貝
鍉	金旦龰
鍘	金貝刂
鍚	金旦勿
鍓	金口耳
鍝	金日⽱
鎾	金日皿
鍟	金日生
鍻	金日勹乙
鍡	金田
鎅	金田人
鍶	金田心
鍔	金吅二乙
鍴	金山而
鍤	金千臼
鍬	金禾火
鍾	金千日二
鍑	金日夂
鍛	金几又
鎪	金臼丨又
鎀	金亻丨彡
鍠	金白王
鍭	金亻矢
鎚	金辶
鍎	金⺁十目
鍮	金亼月刂
鍰	金爫二夂
鍐	金乂凵夂
鍯	金勿丶心
鍧	金勹言
鎄	金衣口
鍍	金广廿又
鍗	金巾
鍦	金方也
鎈	金工
鎂	金⺷大
鎹	金丷天辶
鎆	金丷一刂
鎡	金丷一幺
鎃	金氵⺁
鍹	金宀二日
鍕	金冖車
鍽	金户冂艹
鎺	金礻且
鍜	金丨又
鍲	金民日
鍏	金丨㐄
鎇	金尸丨目
鍨	金癶天
鍒	金矛木
斂	亼吅人攵
歛	亼吅人欠
鴿	亼口鳥
鴵	儿鳥
韱	人人戈一
豀	谷爫幺大
螸	谷欠虫
貕	豸爫幺大
貖	豸皿
懇	豸彐心
餬	飠古月
餷	飠木旦
餪	飠而大
餳	飠旦勿
饂	飠日皿
餲	飠日勹乙
餵	飠田
餶	飠骨
餿	飠臼丨又
餭	飠白王
餽	飠白儿厶
餱	飠亻矢
餰	飠彳氵亍
餸	飠丷天辶
餫	飠冖車
餯	飠彑
臒	月艹隹又
臄	月虍豕
膿	月囗艹
臅	月罒勹虫
臉	月亼吅人
膾	月亼日
膽	月⺈厂言
臁	月广丷
賸	月丷夫貝
謄	月丷夫言
甔	⺈厂八瓦
鴲	匕日鳥
毚	⺈口匕兔
鳆	鱼日夂
鳋	鱼又丶虫
鮭	魚土土
鮚	魚士口
鮳	魚耂一乙
鮱	魚耂匕
鮪	魚月
鮞	魚而
鮬	魚大二乙
鯎	魚戊乙
鮧	魚大弓
鮛	魚上小
鮦	魚冂一口
鮰	魚回
鮢	魚丿未
鮴	魚亻木
鮲	魚亻犬
鯅	魚丿廴
鮜	魚𠂋
鮯	魚亼口
鮡	魚儿
鮠	魚⺈厂㔾
鮨	魚匕日
鮥	魚夂口
鮫	魚六乂
鮮	魚羊
鮩	魚丷开
鮟	魚宀女
鮙	魚羽
獮	犭一八乂
獳	犭⻗而
颶	几丿虫八
颷	几丿虫火
獷	犭广龷八
獱	犭宀一貝
獰	犭宀心丁
觲	⺈用⺷牛
雘	⺆亠艹又
鵅	夂口鳥
斵	丶刀斤
顈	匕糸頁
謸	言龶勹攵
講	言冂土
譁	言艹一十
謨	言艹日大
謓	言十八
謰	言車辶
謌	言丁口口
謜	言厂白小
謖	言田八夂
謢	言隹又
謝	言身寸
謕	言⺁虍几
謡	言爫缶
謟	言爫臼
謑	言爫幺大
謒	言亽彐口
謋	言夕㐄木
謠	言缶
謅	言勹䶹䶹
謞	言高
謧	言㐫禸
謗	言方
謚	言皿
謙	言丷一
謆	言户羽
謐	言必皿
謘	言尸立十
凟	冫士罒貝
褻	衣土八丶
鵉	亦鳥
醤	丬爫寸一
氈	亠回旦毛
麿	麻吕
鄽	广日土阝
應	广亻隹心
螷	广白丿虫
癋	疒亞心
癅	疒卯田
癘	疒艹日⽱
療	疒大丷小
癎	疒門日
癇	疒門月
癉	疒吅
癄	疒隹灬
癁	疒彳夂
癆	疒火火力
癈	疒癶弓又
顇	亠人人頁
鵁	六乂鳥
韺	立日艹大
竴	立丷西寸
竲	立丷日
竳	立癶豆
齋	亠丷丨示
覫	方目儿
旚	方覀示
甕	亠乡隹瓦
鴹	鳥
鮺	魚
鵧	丷开鳥
鮝	丷夫魚
糛	米尚土
糞	米田龷八
麊	米鹿
糡	米立日儿
糝	米厶厶彡
斃	㡀攵歹匕
蟞	㡀攵虫
燯	火⻗亽龴
燦	火⺊夕米
燳	火日刀灬
燶	火囗艹
燡	火罒土干
燭	火罒勹虫
燬	火臼工又
燩	火白方攵
燴	火亼日
燰	火爫冖夂
燷	火亠回示
燣	火亠回禾
燫	火广丷
燱	火立日心
燨	火⺷丿戈
顃	火火頁
醟	火火冖一
覮	火火冖儿
謍	火火冖言
熽	火彐丨一
燲	火力力貝
瀞	氵龶月丨
濪	氵龶月巴
鴻	氵工鳥
濲	氵士冖又
濤	氵士乙寸
濝	氵其糸
鍙	氵龷八金
瀎	氵艹罒丶
濣	氵十早十
壍	氵車斤土
嬱	氵車斤女
濫	氵臣皿
濿	氵厂艹⽱
濔	氵一八乂
濬	氵⺊冖目
濧	氵业⺷寸
璗	氵旦勿丶
盪	氵旦勿皿
濹	氵黑土
濶	氵門舌
濕	氵日幺灬
鍌	氵⺧儿金
濦	氵爫工心
濥	氵夕宀八
瀇	氵广龷八
濟	氵亠丷二
瀁	氵丷三食
濚	氵火火木
濴	氵火火水
濙	氵火火火
濱	氵宀一貝
濘	氵宀心丁
濵	氵宀尸貝
濜	氵彐丨皿
瀡	氵阝辶
濻	氵阝貝
澀	氵刀丶止
濢	氵羽亠十
濰	氵糹隹
懛	忄士口土
懗	忄土
懤	忄士乙寸
懱	忄艹罒丶
懥	忄田龰
懢	忄臣皿
懨	忄厂日犬
懚	忄爫工心
懝	忄匕矢龰
懭	忄广龷八
懡	忄麻丿厶
懠	忄亠丷二
懩	忄丷三食
懧	忄宀心丁
賽	宀八貝
顁	宀一龰頁
窾	穴士示欠
竀	穴一止儿
竃	穴土日电
竂	穴大丷小
竁	穴毛毛毛
寲	宀匕矢龰
寱	宀爿自木
鴳	宀女鳥
顅	户月頁
襓	衤土土⺎
褼	衤覀大巳
襋	衤木冂冂
襆	衤业丶
襊	衤日耳又
襇	衤門日
襉	衤門月
襌	衤吅
襍	衤隹木
襖	衤米大
襎	衤禾丷田
襑	衤彐工寸
襈	衤巳巳八
襏	衤癶弓又
禮	礻囗艹豆
禯	礻囗艹
禬	礻亼日
覭	冖日六儿
歗	彐丨片欠
褽	尸示寸衣
憵	尸口立心
屨	尸彳口女
彌	弓一八乂
蟁	民虫虫
彍	弓广龷八
韔	丨口
韕	丨口子
牆	爿土人回
螿	爿寸虫
孻	子彐丨皿
臩	臣臣大
顄	了凵頁
嬺	女匚艹心
嬯	女士口土
嬦	女士乙寸
嬭	女一八乂
鴽	女口鳥
嬶	女自田
嬤	女麻幺
嬫	女火火木
嬪	女宀一貝
嬣	女宀心丁
嬧	女彐丨皿
嬵	女糹白巾
翵	羽鳥
鴾	厶牛鳥
蠁	乡丶彐虫
嚮	乡丶彐口
績	糹龶貝
繊	糹十戈业
縳	糹寸
縹	糹覀示
縬	糹戊上小
繉	糹目儿
縷	糹口十女
縵	糹日罒又
縲	糹田糸
繀	糹山隹
繃	糹山月月
繌	糹乂夂
總	糹夕心
縰	糹彳止龰
縱	糹彳人龰
縩	糹示
縼	糹方龰
繂	糹亠幺十
縴	糹亠幺牛
縯	糹宀一八
縮	糹宀亻日
繍	糹彐米
繈	糹弓厶虫
繆	糹羽人彡
縿	糹厶厶彡
繅	糹巛日木
耮	耒火火力
耭	耒幺幺丶
璹	王士乙寸
璼	王臣皿
璿	王⺊冖目
鵡	一弋止鳥
靝	龶月气米
瓊	王⺈冂夂
瓋	王亠丷辶
璾	王亠丷二
璸	王宀一貝
璶	王彐丨皿
瓍	王阝辶
璻	王羽亠十
繛	龶糸⺊早
攆	扌夫夫車
攅	扌夫夫貝
鬆	镸彡木厶
鬄	镸彡日勿
鬅	镸彡月月
翹	土土土羽
鞤	土土寸革
擷	扌士口頁
擹	扌廿口欠
騏	馬其
騋	馬木人人
騎	馬大丁口
騑	馬非
騍	馬日木
騉	馬日匕匕
騧	馬冂乙口
騈	馬丿一干
騅	馬隹
騇	馬亼古
験	馬亼口人
騐	馬亽乙心
騆	馬⺆土口
騊	馬勹缶
騌	馬宀示
騝	馬彐二廴
騄	馬彐氺
騒	馬又虫
擾	扌丆冂夂
趪	走龷由八
趩	走田龷八
攄	扌虍田心
鼖	十艹壴又
翸	十艹貝羽
嚞	士口士口
擻	扌口十攵
壝	土貝辶
攂	扌田田田
鼕	壴十又⺀
蟚	壴彡虫
擺	扌罒厶匕
擶	扌丷刂
擽	扌白幺木
鼀	土八黽彐
擼	扌魚日
擵	扌麻手
贄	土丷干貝
謺	土丷干言
燾	士乙工灬
謦	士尸丨言
鼁	土厶黽彐
擸	扌巛
聶	耳耳耳
聵	耳貝
蟴	其斤虫
職	耳立戈日
藚	艹士罒貝
藝	艹土八云
藲	艹木匚品
覲	堇目儿
鞢	革廿乙木
鞩	革月刂
鞰	革日皿
鞦	革禾火
鞥	革亼口廾
酀	廿口丬阝
藖	艹臣又貝
藞	艹石石石
藸	艹豕耂日
藘	艹虍田心
藪	艹口十攵
蠆	艹日⽱虫
藣	艹罒厶匕
繭	艹冂丨虫
藵	艹亻口衣
藥	艹白幺木
藢	艹彳山攵
蟼	艹句攵虫
藰	艹丶刂
藷	艹言耂日
藳	艹高禾
藙	艹立又
藫	艹氵覀早
藔	艹宀大小
藛	艹宀臼灬
藭	艹穴身弓
雗	十早隹
賾	龶貝
藯	艹尸示心
藴	艹糹日皿
藧	艹糹爫夂
檯	木士口土
檮	木士乙寸
櫀	木其糸
櫙	木艹匚品
櫗	木艹罒丶
櫒	木艹示
櫃	木匚貝
檻	木臣皿
櫉	木厂壴寸
櫔	木厂艹⽱
檶	木大匚品
檷	木一八乂
檽	木⻗而
櫚	木門吕
櫊	木門夂口
檲	木囗寸
櫄	木千灬
櫡	木耂日
檱	木其
檭	木金彐
鵐	工人人鳥
麱	木人人甫
麲	木人人儿
檼	木爫工心
檺	木冖豕
櫎	木广龷八
櫅	木亠丷二
檹	木方口
檳	木宀一貝
櫁	木宀必虫
檸	木宀心丁
櫭	木彐旦
櫇	木皮頁
櫂	木羽隹
櫈	木癶豆几
檰	木糹白巾
檵	木幺幺乙
鵓	子鳥
轊	車三丨彐
轉	車寸
轌	車⻗彐
覱	車斤目儿
蹔	車斤足
轆	車鹿
礊	車凵几石
轇	車羽人彡
轈	車巛日木
鵏	甫鳥
鵣	木口鳥
嚢	八
蟗	屮凵虫
盬	臣古皿
擥	臣罒手
醩	西一艹日
醧	西一匚品
醥	西一覀示
醦	西一厶彡
毉	匚矢几人
醫	匚矢几一
贀	匚矢几貝
顑	戌口頁
礚	石艹土皿
礡	石艹甫寸
礎	石木木龰
檿	厂日月木
擪	厂日月手
懕	厂日月心
礏	石业羊八
礑	石尚田
礋	石罒土干
礖	石⺽一八
礉	石白方攵
礆	石亼吅人
礒	石⺷丿戈
礠	石丷一心
礔	石尸口十
龎	厂立月三
蟨	厂屰欠虫
鵊	大人人鳥
豵	豕彳人龰
豴	豕亠丷古
殯	歹宀一貝
霣	⻗口貝
霢	⻗月⺁
霤	⻗丶田
霩	⻗子阝
霥	⻗冖一豕
霧	⻗矛夂力
鬵	匚儿匚丨
鵛	一巛工鳥
豐	山三丨豆
鬩	丨王王儿
齕	齒乙
覷	虍业目儿
覰	虍且目儿
懟	业⺷寸心
叢	业丷干又
虩	日小几
嚖	口三丨心
矆	目艹隹又
矇	目艹冖
題	旦龰頁
韙	旦龰㐄
瞾	目目穴工
鼂	旦黽彐
矂	目品木
曞	日厂艹⽱
矁	目禾火心
矀	目彳山攵
瞼	目亼吅人
瞺	目亼日
甖	貝貝瓦
贁	貝貝攵
贃	貝口中心
鵙	貝鳥
瞹	目爫冖夂
賿	貝羽人彡
贂	貝厶厶彡
曘	日⻗而
嚡	口革土土
顕	日业頁
嚔	口田龰
闖	門馬
闔	門土厶皿
闐	門十八
闘	門豆寸
闒	門日羽
闓	門山豆
闑	門自木
闕	門屰欠
闗	門幺幺灬
顒	日⽱頁
嚘	口丆冂夂
曠	日广龷八
歞	日幺幺欠
疅	田三田田
蹖	臼
蹟	龶貝
蹣	廿巾丶
蹧	艹日日
蹛	廿儿巾
蹞	匕頁
蹝	彳止龰
蹤	彳人龰
嚙	口齒
蹠	广廿灬
蹗	鹿
蹡	爿寸
蹘	羽人彡
躀	囗十貝
壘	田田田土
蟯	虫土土⺎
蟦	虫十艹貝
蟢	虫壴口
蟽	虫土羊辶
蟖	虫其斤
蠂	虫艹廿木
蠇	虫艹日⽱
蟵	虫厂豆寸
蟩	虫厂屰欠
蟟	虫大丷小
蟲	虫虫虫
蟬	虫吅
蟔	虫黑
蟱	虫龷灬
蟜	虫丿大口
蟘	虫亻弋貝
蟭	虫隹灬
蠄	虫人㐫禸
蟡	虫爫灬
蟙	虫立戈日
蟧	虫火火力
蟳	虫彐工寸
蟤	虫巳巳八
顋	田心頁
蟣	虫幺幺丶
嚗	口日龷氺
顎	吅二乙頁
鵑	口月鳥
嚜	口黑土
嚟	口禾勹氺
嚛	口白幺木
嚕	口魚日
嚠	口丶刂
嚤	口麻手
顓	山而頁
羃	罒艹日巾
奰	罒罒罒大
羂	罒糹口月
巀	山小隹戈
巂	山隹冂口
幮	巾广壴寸
羀	冂乂乂田
濷	水氵廿丶
顝	骨頁
髄	骨月辶
髊	骨工
罈	缶覀早
罉	缶尚手
罇	缶丷西寸
観	一隹儿
矱	矢艹隹又
犡	牜厂艹⽱
鵠	⺧口鳥
鵝	丿扌戈鳥
鵞	丿扌戈鳥
舙	舌舌舌
穫	禾艹隹又
穡	禾土人回
穢	禾止戌
馤	禾日日乙
穠	禾囗艹
穥	禾⺽一八
鵚	禾几鳥
邌	禾勹丿辶
穣	禾衣八
簮	夫夫日
簙	十甫寸
簛	其斤
簯	木其
簭	工人口
簡	門日
簢	門亠乂
簣	貝
簞	吅
簚	罒戈巾
簤	罒貝
簥	丿大口
篽	彳卩
簲	月白十
簱	方其
簩	火火力
簜	氵旦勿
簶	礻彐氺
簨	巳巳八
簦	癶豆
礜	⺽一乙石
礐	⺽乂乂石
儮	亻厂禾止
鼥	鼠犮
鼪	鼠生
鼨	鼠夂⺀
鼧	鼠宀匕
鼦	鼠刀口
鎥	亻丨夂金
儵	亻丨夂黑
雙	隹隹又
儭	亻亲目儿
儱	亻立月三
儯	亻丷夫馬
齀	自田一瓦
軀	身匚品
軁	身口十女
鵢	身鳥
躿	身广彐氺
翺	自十羽
邊	自穴方辶
鵌	鳥人于八
鵔	鳥厶八夂
皨	白白白土
皧	白爫冖夂
歸	止彐巾
頾	彡頁止匕
頿	彡止匕頁
艥	舟口耳戈
艞	舟儿
鎜	舟几又金
艠	舟癶豆
鎷	金馬
鎱	金土口
鎑	金土厶皿
鏵	金艹一十
鏌	金艹日大
鎮	金十八
鎍	金糸
鏈	金車辶
鎛	金甫寸
鎶	金丁口口
鎘	金一口丨
鎒	金厂二寸
鎼	金虍手
鎖	金貝
鎲	金尚儿
鏎	金龷
鎤	金日⺎
鎉	金日羽
鎧	金山豆
鎠	金罒一止
鎽	金山夂丨
鎎	金气米
懖	金舌心
鏅	金亻丨月
鎨	金隹十
鎸	金隹乃
鎳	金自木
鎴	金自心
鎢	金烏
鎞	金乂匕
鎫	金乂夂
鎩	金乂朩又
鎿	金亼口手
鎐	金爫缶
鎗	金亽彐口
鎓	金八厶羽
鎭	金匕目八
鏠	金夂三辶
鎦	金丶田
鎬	金高
鎕	金广彐口
鎊	金方
鎰	金皿
鎌	金丷一
鎙	金屰月
鎋	金宀三口
鎵	金宀豕
鎔	金宀谷
鎟	金又又木
鎻	金巛貝
盫	亼口西皿
鵗	乂巾鳥
鵒	谷鳥
豃	谷乙耳攵
豂	谷羽人彡
鵎	爫女鳥
貙	豸匚品
貗	豸口十女
雞	爫幺大隹
饁	飠土厶皿
饃	飠艹日大
餺	飠甫寸
饆	飠龷
餼	飠气米
饀	飠爫臼
餾	飠丶田
餹	飠广彐口
饈	飠乙土
餻	飠⺷灬
臓	月艹戊臣
臐	月千灬
臍	月亠丷二
臗	月宀艹丶
臏	月宀一貝
臎	月羽亠十
鯐	魚走
鮿	魚耳乙
鯄	魚求
鯆	魚甫
鯁	魚一日乂
鯃	魚五口
鯂	魚西一
鮹	魚月
鯉	魚日土
鯌	魚⺧口
鯏	魚禾刂
鯓	魚身
鮽	魚人于八
鯑	魚乂巾
鮾	魚爫女
鮸	魚免
鯀	魚系
鯍	魚
鮵	魚丷口儿
鮷	魚丷弓丿
鯋	魚氵少
鯇	魚宀二儿
鮶	魚彐丿口
鮼	魚彐冖又
鯽	魚彐卩
鯒	魚龴用
鮻	魚厶八夂
鵟	犭王鳥
獶	犭丆冂夂
颺	几丿虫勿
颸	几丿虫心
颼	几丿虫又
颹	几丿虫㐄
颾	几丿虫虫
觵	⺈用龷八
觴	⺈用勿
鵤	⺈用鳥
獵	犭巛
雛	勹䶹勹隹
謮	言龶貝
謹	言堇
謳	言匚品
謤	言覀示
譇	言大耂日
謣	言⻗二乙
譃	言虍业
謯	言虍且
謼	言虍乎
謱	言口十女
謾	言日罒又
謻	言禾夕夕
謥	言夕心
謶	言广廿灬
謫	言亠丷古
謪	言亠丷口
謭	言丷一刀
夑	言火火夂
譀	言乙耳攵
謵	言羽白
謬	言羽人彡
謲	言厶厶彡
謴	言囗十貝
髜	高日丿廾
皽	亠回旦皮
懬	广龷由心
廫	广月羽彡
癑	疒囗艹
癏	疒罒一
癤	疒彐卩
癙	疒鼠
癓	疒彳山攵
顏	亠乂厂頁
癒	疒亼月心
癐	疒亼日
癚	疒⺈厂言
癝	疒亠回示
癛	疒亠回禾
癕	疒亠乡隹
斔	亠乂虫人
雜	亠人人隹
離	㐫禸隹
麎	鹿厂二
麌	鹿口天
麐	鹿亠乂口
麍	鹿
麏	鹿彐丿口
竵	立一口丨
辬	立亠十
韹	立日白王
顔	立丿彡頁
齌	亠丷丨火
旛	方禾田
羴	羊羊
羵	十艹貝
羳	禾丷田
鯗	丶魚
鵥	丷二丨鳥
糦	米壴口
糤	米龷月攵
糥	米而而
糣	米匚儿日
糧	米旦日土
颣	米糸页
鄨	㡀攵口巴
爀	火土
燽	火士乙寸
爁	火臣皿
爄	火厂艹⽱
燸	火⻗而
爗	火日艹十
燻	火千灬
燺	火高木
爌	火广龷八
爃	火火火木
檾	火火冖木
鎣	火火冖金
燼	火彐丨皿
燿	火羽隹
鵜	丷弓丨鳥
濽	氵夫夫貝
瀐	氵十戈一
瀆	氵士罒貝
懣	氵廿巾心
瀒	氵木人回
懘	氵廿儿心
瀀	氵丆冂夂
瀦	氵豕耂日
濾	氵虍田心
鯊	氵少魚
濺	氵貝戈戈
瀃	氵貝日勿
瀢	氵貝辶
濼	氵白幺木
瀓	氵彳山攵
瀊	氵舟几皿
瀂	氵魚日
瀏	氵丶刂
瀅	氵火火丶
瀉	氵宀臼灬
瀋	氵宀禾田
瀈	氵羽冖車
懳	忄三丨心
懴	忄十戈一
懮	忄丆冂夂
懪	忄日龷氺
懫	忄斤斤貝
懰	忄丶刂
鵍	宀二儿鳥
竄	穴鼠
竆	穴身吕
竅	穴白方攵
額	宀夂口頁
顐	冖車頁
襠	衤尚田
襛	衤囗艹
襙	衤品木
襗	衤罒土干
襡	衤罒勹虫
襝	衤亼吅人
襘	衤亼日
襢	衤亠回旦
禱	礻士乙寸
禲	礻厂艹⽱
禰	礻一八乂
繠	心心心糸
鵘	彐丿口鳥
彞	彐米糸廾
鵖	彐鳥
礕	尸口立石
屩	尸彳丿口
屪	尸宀大小
鵋	己心鳥
韚	丨口革
韘	丨口木
韞	丨口皿
韗	丨口車
韖	丨口木
醬	爿寸一
雟	䶹隹冂口
隴	阝立月三
嬻	女士罒貝
嬼	女丶刂
嬸	女宀禾田
鵕	厶八夂鳥
鞪	矛攵革
繞	糹土土⺎
繥	糹壴口
繨	糹土羊辶
繖	糹龷月攵
繱	糹艹勿心
繐	糹心
繚	糹大丷小
繧	糹⻗云
繓	糹日耳又
繝	糹門月
繢	糹貝
繟	糹吅
繑	糹丿大口
繙	糹禾丷田
繎	糹犬灬
織	糹立戈日
繕	糹羊丷口
繗	糹米夕㐄
繜	糹丷西寸
繸	糹丷豕辶
繒	糹丷日
繣	糹彐土一
繦	糹弓口虫
繏	糹巳巳八
繘	糹矛冂口
斷	幺幺一斤
雝	巛口巴隹
耯	耒艹隹又
瓉	王夫夫貝
瓄	王士罒貝
璷	王甫方攵
瓇	王丆冂夂
鶄	龶月鳥
瓃	王田田田
瓈	王禾勹氺
瓅	王白幺木
瓆	王斤斤貝
顜	冂土頁
匶	匚艹隹臼
斄	未攵厂人
镽	镸大丷小
鬊	镸彡日
鬍	镸彡古月
鬎	镸彡木刂
鬌	镸彡月
鬉	镸彡乂夂
鬋	镸彡丷刂
鼃	土土黽彐
攋	扌木口貝
騞	馬三丨石
騲	馬艹早
騕	馬覀女
騠	馬旦龰
騔	馬日勹乙
騦	馬田心
騪	馬臼丨又
騜	馬白王
騡	馬白水
騩	馬白儿厶
騟	馬亼月刂
騣	馬乂凵夂
颿	馬几丿虫
騘	馬勿丶心
騚	馬丷一刂
騨	馬⺍
騙	馬户冂艹
騢	馬丨又
騛	馬飞丿飞
騤	馬癶天
騷	馬又丶虫
騥	馬矛木
壢	土厂禾止
攊	扌厂禾止
趬	走土土⺎
趫	走丿大口
趭	走隹灬
壚	土虍田皿
攎	扌虍田皿
壜	土日⻗云
壛	土門⺈臼
攌	扌囗罒
攑	扌⺽一丨
鵱	土八土鳥
壞	土衣罒氺
攈	扌鹿禾
壠	土立月三
攏	扌立月三
攍	扌亡口丶
攚	扌火火吕
攇	扌宀三心
攐	扌宀衣
鏧	士尸丨金
鵶	亞鳥
聸	耳⺈厂言
蘀	艹扌罒干
蘣	艹龷由王
蘁	艹吅吅
藮	艹木隹灬
難	廿口夫隹
鞾	革艹一十
鞸	革龷
鞱	革爫臼
鞵	革爫幺大
鞹	革子阝
鵲	龷日鳥
藾	艹木口貝
藶	艹厂禾止
蘎	艹⻗月巴
蘃	艹止止木
蘋	艹止頁
蘆	艹虍田皿
藺	艹門隹
躉	艹日⽱足
鶓	艹田鳥
蘄	艹吅斤
酄	艹吅隹阝
勸	艹吅隹力
鶧	艹冂大鳥
蘉	艹罒冖又
蘈	艹禾几頁
蘒	艹禾⺈电
蘓	艹禾魚
蘍	艹千力
蘏	艹匕示頁
蘇	艹魚禾
蘔	艹匕禾頁
藹	艹言日乙
蘐	艹言爫夂
藽	艹亲目儿
蘢	艹立月三
藼	艹宀三心
蘂	艹心心木
顛	十八頁
蘟	艹阝爫心
鶜	艹矛鳥
蘊	艹糹囗皿
蘕	艹糹夂辶
櫘	木三丨心
櫕	木夫夫貝
櫝	木士罒貝
櫵	木艹隹灬
櫏	木覀大辶
櫌	木丆冂夂
櫖	木虍田心
櫢	木口十攵
櫑	木田田田
櫤	木丷刂
櫋	木自穴方
櫟	木白幺木
櫍	木斤斤貝
鶆	木人人鳥
麳	木人人人
麴	木人人米
櫓	木魚日
櫧	木言耂日
櫥	木广壴寸
櫦	木广夂
櫠	木广癶又
鶐	木丶辶鳥
櫲	木予⺈
櫞	木糹彑
轒	車十艹貝
轕	車艹日乙
轑	車大丷小
轐	車业丶
轎	車丿大口
鏨	車斤金
轓	車禾丷田
轍	車月攵
轔	車米夕㐄
轏	車尸子子
蟿	車凵几虫
罊	車凵几缶
繫	車凵几糸
鶇	木日鳥
懯	甫方攵心
櫜	夂卜木
鞷	一口冂革
覇	覀革月
覈	覀白方攵
醰	西一覀早
醱	西一癶又
麗	一冂丶鹿
夒	丆目止夂
礟	石馬乂乂
礣	石艹罒丶
礤	石艹示
厴	厂日月甲
礛	石臣皿
礪	石厂艹⽱
礝	石⻗而
礘	石日幺灬
礙	石匕矢龰
礦	石广龷八
礢	石丷三食
礗	石宀一貝
贋	厂亻隹貝
願	厂白小頁
鵸	大丁口鳥
鵪	大电鳥
璽	一八巾丶
蹷	厂屰欠足
豶	豕十艹貝
櫫	豕耂日木
豷	豕士冖豆
蟸	豕虫虫
殱	歹十戈一
殰	歹士罒貝
霦	⻗木木彡
霬	⻗田龷八
霳	⻗阝夂生
霫	⻗羽白
鶈	十彐女鳥
翽	止戌羽
齖	齒牙
齗	齒斤
齘	齒人
鵫	⺊早鳥
鹸	⺊囗乂人
壡	⺊冖一土
矋	目厂艹⽱
矄	目千灬
矈	目白穴方
蠈	貝戈虫
贎	貝艹日⽱
贉	貝覀早
贆	貝犬犬犬
贌	貝业丶
贈	貝丷日
矎	目⺈冂夂
矌	目广龷八
矉	目宀一貝
矃	目宀心丁
鵾	日匕匕鳥
矅	目羽隹
矊	目糹白巾
嚥	口廿口灬
闚	門夫目儿
闛	門尚土
曟	日日日
闝	門貝攵
覸	門日目儿
曡	日日日且
覵	門月目儿
闙	門户口攵
闞	門乙耳攵
關	門幺幺乙
嚦	口厂禾止
鶍	日勿鳥
曢	日宀大小
疇	田士乙寸
蹺	土土⺎
躂	土羊辶
蹮	覀大巳
嚬	口止頁
蹪	貝
蹻	丿大口
蹹	亼口羽
蹨	犬灬
蹱	立日土
蹸	米夕㐄
蹳	癶弓又
蹫	矛冂口
櫐	田田田木
蟶	虫耳口王
蟕	虫止匕用
蟷	虫尚田
蠅	虫黽彐
蠍	虫日勹欠
蠌	虫罒土干
蠉	虫罒一
蠏	虫⺈用牛
蟺	虫亠回旦
蠀	虫冫欠貝
蟻	虫⺷丿戈
蟰	虫彐丨一
嚧	口虍田皿
艶	囗艹豆巴
嚪	口門⺈臼
嚴	吅厂乙攵
辴	吅厂
獸	吅田一犬
嚰	口麻石
嚫	口亲目儿
嚨	口立月三
嚩	口糹甫寸
顗	山豆頁
颽	山豆几虫
羆	罒厶月灬
羄	罒糹⺊早
羅	罒糹隹
巄	山立月三
巃	山立月三
巆	山火火吕
巌	山⺍厂攵
幰	巾宀三心
黣	黑母
髆	骨甫寸
髇	骨高
髈	骨方
髉	骨冖隹
鼄	丿未黽彐
氌	毛魚日
犢	牜士罒貝
犦	牜日龷氺
犤	牜罒厶匕
贊	⺧儿⺧貝
犥	牜鹿灬
犣	牜巛
舚	舌⺈厂言
穪	禾一八乂
穤	禾⻗而
馦	禾日丷
穩	禾爫工心
穨	禾几貝
鵹	禾勹丿鳥
鯬	禾勹丿魚
穬	禾广龷八
穧	禾亠丷二
穦	禾宀一貝
簼	扌土
籆	艹隹又
簳	十早干
簵	車夂口
籈	覀土瓦
簴	虍业八
簹	尚田
簬	夂口
籅	⺽一八
簽	亼吅人
籂	飠巾
簷	⺈厂言
簾	广丷
簺	宀土
簫	彐丨一
蠞	彐虫
夓	⺽丆目夂
爂	⺽冂一火
鶂	臼儿鳥
鼭	鼠土寸
鼮	鼠丿士廴
牘	片士罒貝
皩	白王日⺎
軅	身厂亻隹
軃	身吅
軄	身立戈日
軂	身火火力
鶀	鳥其
鵿	鳥日丿廾
鶃	鳥臼儿
鵻	鳥隹
鵦	鳥彐氺
鵯	白丿十鳥
魓	白儿厶龷
魐	白儿厶
顖	乂心頁
懲	彳山一心
徿	彳立月三
艧	舟艹隹又
艢	舟土人回
艣	舟虍田力
艡	舟尚田
鞶	舟几又革
艤	舟⺷丿戈
鵨	亼古鳥
鏏	金三丨彐
鐯	金艹耂日
鐄	金龷由八
鏋	金廿巾丶
鏩	金車斤
鏄	金寸
鏪	金艹日日
鏉	金木口欠
鏂	金匚品
鏗	金臣又土
鏢	金覀示
鏚	金戊上小
鏯	金大乂乂
鏀	金⺊囗⺀
鏬	金虍乎
鏜	金尚土
鏛	金尚巾
鏤	金口十女
鏝	金日罒又
鏍	金田糸
鏙	金山隹
鏰	金山月月
鐹	金冂乙辶
鏫	金禾刂木
鵭	金鳥
鏓	金夕心
鏦	金彳人龰
鏭	金禾丷心
鐌	金⺈口
鏣	金广廿灬
鏮	金广彐氺
鏞	金广彐丨
鏕	金鹿
鏱	金立早
鏡	金立日儿
鏟	金立丿生
鏑	金亠丷古
鏃	金方矢
鏇	金方龰
鏲	金亠幺牛
